5911,1313,36,80,1109,181,432,2479,2765,275.5589287,1469,361
5990,1234,36,80,1009,128,359,2478,2766,282.4714632,1613,327
6966,958,35,79,820,134,272,1872,2072,205.7402677,1103,236
6006,1343,36,85,1139,195,411,2401,2634,274.459896,1435,310
5853,1273,36,80,1010,183,382,2578,2861,273.8198494,1573,337
6054,1291,36,79,1071,148,392,2311,2629,280.3950035,1477,284
5950,1273,36,84,1066,145,354,2409,2757,275.9261064,1542,286
6053,1221,36,79,974,174,367,2397,2709,277.7460168,1499,295
5877,1322,36,85,1109,167,336,2578,2784,275.6809317,1518,337
5904,1277,36,85,1032,164,397,2520,2814,272.8049605,1517,332
6117,1305,36,82,1074,188,405,2322,2558,269.893418,1416,267
5920,1327,36,79,1105,187,388,2434,2731,284.6074994,1508,410
6130,1215,36,79,1024,153,372,2323,2637,263.6814097,1430,313
5979,1262,36,86,1016,128,380,2326,2751,272.7588906,1524,288
5882,1277,36,83,977,165,368,2539,2825,297.0254828,1563,367
6052,1336,36,80,1129,229,316,2418,2594,255.0426727,1420,289
5970,1455,36,68,1273,180,338,2509,2559,256.5017102,1429,280
5914,1306,36,84,1049,158,319,2451,2772,270.1706545,1515,293
6022,1369,36,91,1115,181,374,2394,2593,249.55784,1448,260
6121,1227,36,81,995,134,302,2410,2634,262.5371978,1370,270
5990,1328,36,76,1127,159,358,2445,2678,243.489011,1468,250
5988,1322,36,75,1104,193,356,2537,2688,257.2169922,1426,252
5891,1329,36,84,1105,176,352,2563,2767,277.9282261,1544,237
6019,1237,36,78,1058,135,330,2396,2724,268.5980169,1502,294
6035,1254,36,80,1052,154,364,2404,2691,264.0464682,1467,275
5958,1305,36,81,1080,184,353,2490,2720,276.7188604,1526,238
5974,1242,36,86,1051,169,358,2435,2779,269.0877133,1500,304
6063,1276,35,83,1066,183,343,2364,2647,253.0346122,1424,296
5941,1378,36,86,1117,163,332,2421,2667,256.6352486,1391,275
5902,1243,36,75,1075,217,402,2461,2841,294.1228707,1569,343
5967,1266,35,82,1032,169,375,2462,2757,269.5480695,1544,308
6130,1340,36,81,1116,157,338,2334,2504,254.6628911,1344,295
6045,1256,36,84,1016,210,359,2448,2688,264.1138691,1433,293
6092,1195,36,74,997,157,315,2344,2704,250.135756,1407,290
6112,1247,36,90,1008,150,329,2367,2624,254.6701114,1442,283
6014,1260,36,81,1079,169,341,2331,2718,258.1507444,1503,299
5913,1302,36,80,1078,185,359,2443,2777,267.9184404,1511,275
5866,1308,36,86,1102,166,380,2524,2813,276.810805,1489,313
5909,1209,35,79,1018,165,346,2428,2862,293.2407803,1593,287
6003,1411,36,79,1215,181,363,2509,2563,268.7394116,1471,295
